,,taxon_name,ref_id,sh_id,rep,kingdom,phylum,class,order,family,genus,species,taxon_name_sh,primary_lifestyle,secondary_lifestyle,nematode_feeding,nematode_ecology,decay_type,growth_form,,,,
1052,2297,Tubeufiaceae_sp,UDB06803092,SH0973263.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Tubeufiaceae_gen_Incertae_sedis,Tubeufiaceae_sp,Tubeufiaceae_sp_SH0973263.09FU,NA,NA,,,NA,NA,,,,
1053,2298,Tremellales_sp,UDB06403898,SH1034178.09FU,reps,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellales_fam_Incertae_sedis,Tremellales_gen_Incertae_sedis,Tremellales_sp,Tremellales_sp_SH1034178.09FU,NA,NA,,,NA,NA,,,,
1054,2299,Spizellomycetales_sp,UDB0230405,SH1100105.09FU,reps,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetales_fam_Incertae_sedis,Spizellomycetales_gen_Incertae_sedis,Spizellomycetales_sp,Spizellomycetales_sp_SH1100105.09FU,NA,NA,,,NA,NA,,,,
1055,2300,Paramyrothecium_humicola,KU846295,SH1074294.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Paramyrothecium,Paramyrothecium_humicola,Paramyrothecium_humicola_SH1074294.09FU,soil_saprotroph,NA,,,soil,filamentous_mycelium,,,,
1056,2302,Ascomycota_sp,UDB02986753,SH0956570.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH0956570.09FU,NA,NA,,,NA,NA,,,,
1057,2305,Pervetustus_sp,UDB04286451,SH1304278.09FU,reps,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Pervetustaceae,Pervetustus,Pervetustus_sp,Pervetustus_sp_SH1304278.09FU,arbuscular_mycorrhizal,root-associated,,,NA,filamentous_mycelium,,,,
1058,2306,Mortierella_sp,UDB04815101,SH1201177.09FU,reps,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp,Mortierella_sp_SH1201177.09FU,soil_saprotroph,root-associated,,,roots,soil,filamentous_mycelium,,,
1059,2307,Marasmius_sp,UDB03233012,SH1132911.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Marasmius,Marasmius_sp,Marasmius_sp_SH1132911.09FU,litter_saprotroph,plant_pathogen,,,leaf/fruit/seed,filamentous_mycelium,,,,
1060,2308,Hypocreales_sp,UDB03570893,SH1032733.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Hypocreales_gen_Incertae_sedis,Hypocreales_sp,Hypocreales_sp_SH1032733.09FU,NA,NA,,,NA,NA,,,,
1061,2316,Cistella_sp,EU520606,SH0990255.09FU,reps,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Cistella,Cistella_sp,Cistella_sp_SH0990255.09FU,wood_saprotroph,litter_saprotroph,,,wood,leaf/fruit/seed,filamentous_mycelium,,,
1062,2318,Chaetosphaeria_sp,UDB01760707,SH0995146.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chaetosphaeria,Chaetosphaeria_sp,Chaetosphaeria_sp_SH0995146.09FU,litter_saprotroph,wood_saprotroph,,,wood,leaf/fruit/seed,filamentous_mycelium,,,
1063,2321,Ascomycota_sp,UDB07546454,SH0963515.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH0963515.09FU,NA,NA,,,NA,NA,,,,
1064,2325,Spizellomycetaceae_sp,UDB07378002,SH1252144.09FU,reps,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomycetaceae_gen_Incertae_sedis,Spizellomycetaceae_sp,Spizellomycetaceae_sp_SH1252144.09FU,NA,NA,,,NA,NA,,,,
1065,2327,Scytalidium_album,MH858617,SH1276376.09FU,refs,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Scytalidium,Scytalidium_album,Scytalidium_album_SH1276376.09FU,wood_saprotroph,litter_saprotroph,,,wood,leaf/fruit/seed,soil,animal_material,filamentous_mycelium,
1066,2328,Rozellomycota_sp,UDB06726210,SH0959765.09FU,reps,Fungi,Rozellomycota,Rozellomycota_cls_Incertae_sedis,Rozellomycota_ord_Incertae_sedis,Rozellomycota_fam_Incertae_sedis,Rozellomycota_gen_Incertae_sedis,Rozellomycota_sp,Rozellomycota_sp_SH0959765.09FU,NA,NA,,,NA,NA,,,,
1067,2329,Rhizophydiales_sp,UDB06473979,SH1102130.09FU,reps,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiales_fam_Incertae_sedis,Rhizophydiales_gen_Incertae_sedis,Rhizophydiales_sp,Rhizophydiales_sp_SH1102130.09FU,NA,NA,,,NA,NA,,,,
1068,2330,Mucor_fuscus,MH854718,SH1171426.09FU,reps,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_fuscus,Mucor_fuscus_SH1171426.09FU,soil_saprotroph,NA,,,soil,filamentous_mycelium,,,,
1069,2344,Chytridiomycota_sp,UDB0634527,SH1067358.09FU,reps,Fungi,Chytridiomycota,Chytridiomycota_cls_Incertae_sedis,Chytridiomycota_ord_Incertae_sedis,Chytridiomycota_fam_Incertae_sedis,Chytridiomycota_gen_Incertae_sedis,Chytridiomycota_sp,Chytridiomycota_sp_SH1067358.09FU,NA,NA,,,NA,NA,,,,
1070,2351,Branch06_sp,UDB01556006,SH1270905.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Branch06,Branch06_fam_Incertae_sedis,Branch06_gen_Incertae_sedis,Branch06_sp,Branch06_sp_SH1270905.09FU,NA,NA,,,NA,NA,,,,
1071,2352,Basidiomycota_sp,UDB01501446,SH1012939.09FU,reps,Fungi,Basidiomycota,Basidiomycota_cls_Incertae_sedis,Basidiomycota_ord_Incertae_sedis,Basidiomycota_fam_Incertae_sedis,Basidiomycota_gen_Incertae_sedis,Basidiomycota_sp,Basidiomycota_sp_SH1012939.09FU,NA,NA,,,NA,NA,,,,
1072,2353,Ascobolus_sp,UDB01324427,SH1309930.09FU,reps,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,Ascobolus_sp,Ascobolus_sp_SH1309930.09FU,litter_saprotroph,dung_saprotroph,,,leaf/fruit/seed,dung,filamentous_mycelium,,,
1073,2354,Zoopagomycota_sp,UDB07610437,SH1323851.09FU,reps,Fungi,Zoopagomycota,Zoopagomycota_cls_Incertae_sedis,Zoopagomycota_ord_Incertae_sedis,Zoopagomycota_fam_Incertae_sedis,Zoopagomycota_gen_Incertae_sedis,Zoopagomycota_sp,Zoopagomycota_sp_SH1323851.09FU,NA,NA,,,NA,NA,,,,
1074,2356,Udeniozyma_sp,UDB0466879,SH1255315.09FU,reps,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_ord_Incertae_sedis,Chrysozymaceae,Udeniozyma,Udeniozyma_sp,Udeniozyma_sp_SH1255315.09FU,unspecified_saprotroph,NA,,,NA,yeast,,,,
1075,2357,Udeniozyma_ferulica,AF444632,SH1255319.09FU,refs,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_ord_Incertae_sedis,Chrysozymaceae,Udeniozyma,Udeniozyma_ferulica,Udeniozyma_ferulica_SH1255319.09FU,unspecified_saprotroph,NA,,,NA,yeast,,,,
1076,2358,Trichoderma_sp,UDB06559603,SH0961394.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma_sp,Trichoderma_sp_SH0961394.09FU,mycoparasite,foliar_endophyte,,,leaf/fruit/seed,soil,fungal_material,filamentous_mycelium,,
1077,2362,Spizellomycetales_sp,UDB07389196,SH1201871.09FU,reps,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetales_fam_Incertae_sedis,Spizellomycetales_gen_Incertae_sedis,Spizellomycetales_sp,Spizellomycetales_sp_SH1201871.09FU,NA,NA,,,NA,NA,,,,
1078,2363,Spizellomycetales_sp,UDB07386547,SH1272795.09FU,reps,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetales_fam_Incertae_sedis,Spizellomycetales_gen_Incertae_sedis,Spizellomycetales_sp,Spizellomycetales_sp_SH1272795.09FU,NA,NA,,,NA,NA,,,,
1079,2364,Sordariales_sp,UDB06568248,SH0965454.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_fam_Incertae_sedis,Sordariales_gen_Incertae_sedis,Sordariales_sp,Sordariales_sp_SH0965454.09FU,NA,NA,,,NA,NA,,,,
1080,2365,Scytalidium_sp,UDB06741752,SH1276276.09FU,reps,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Scytalidium,Scytalidium_sp,Scytalidium_sp_SH1276276.09FU,wood_saprotroph,litter_saprotroph,,,wood,leaf/fruit/seed,soil,animal_material,filamentous_mycelium,
1081,2366,Rhizopus_arrhizus,JN206324,SH1193255.09FU,refs,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus,Rhizopus_arrhizus,Rhizopus_arrhizus_SH1193255.09FU,soil_saprotroph,plant_pathogen,,,leaf/fruit/seed,soil,filamentous_mycelium,,,
1082,2367,Puccinia_coronati.brevispora,HM131235,SH1173179.09FU,refs,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia_coronati.brevispora,Puccinia_coronati.brevispora_SH1173179.09FU,plant_pathogen,NA,,,NA,filamentous_mycelium,,,,
1083,2370,Pezizomycotina_sp,UDB04360495,SH1085103.09FU,reps,Fungi,Ascomycota,Pezizomycotina_cls_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_fam_Incertae_sedis,Pezizomycotina_gen_Incertae_sedis,Pezizomycotina_sp,Pezizomycotina_sp_SH1085103.09FU,NA,NA,,,NA,NA,,,,
1084,2372,Paradendryphiella_arenariae,KF156010,SH0885078.09FU,refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Paradendryphiella,Paradendryphiella_arenariae,Paradendryphiella_arenariae_SH0885078.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,filamentous_mycelium,,,,
1085,2373,Orbiliales_sp,UDB02630104,SH1111950.09FU,reps,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliales_fam_Incertae_sedis,Orbiliales_gen_Incertae_sedis,Orbiliales_sp,Orbiliales_sp_SH1111950.09FU,NA,NA,,,NA,NA,,,,
1086,2374,Orbiliaceae_sp,HG936963,SH1277085.09FU,reps,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbiliaceae_gen_Incertae_sedis,Orbiliaceae_sp,Orbiliaceae_sp_SH1277085.09FU,NA,NA,,,NA,NA,,,,
1087,2375,Microdominikia_litorea,MT765620,SH0993305.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Microdominikia,Microdominikia_litorea,Microdominikia_litorea_SH0993305.09FU,arbuscular_mycorrhizal,root-associated,,,NA,filamentous_mycelium,,,,
1088,2376,Lobulomycetales_sp,UDB0242334,SH0966046.09FU,reps,Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,Lobulomycetales_fam_Incertae_sedis,Lobulomycetales_gen_Incertae_sedis,Lobulomycetales_sp,Lobulomycetales_sp_SH0966046.09FU,NA,NA,,,NA,NA,,,,
1089,2377,Laetinaevia_sp,UDB02679212,SH1078726.09FU,reps,Fungi,Ascomycota,Leotiomycetes,Helotiales,Calloriaceae,Laetinaevia,Laetinaevia_sp,Laetinaevia_sp_SH1078726.09FU,litter_saprotroph,NA,,,leaf/fruit/seed,filamentous_mycelium,,,,
1090,2380,Kamienskia_sp,UDB02264374,SH1031015.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Kamienskia,Kamienskia_sp,Kamienskia_sp_SH1031015.09FU,arbuscular_mycorrhizal,root-associated,,,NA,filamentous_mycelium,,,,
1091,2381,Inocybe_sp,UDB070851,SH1170561.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_sp,Inocybe_sp_SH1170561.09FU,ectomycorrhizal,NA,,,NA,filamentous_mycelium,,,,
1092,2383,Harzia_acremonioides,KY623405,SH1549688.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Melanosporales,Ceratostomataceae,Harzia,Harzia_acremonioides,Harzia_acremonioides_SH1549688.09FU,wood_saprotroph,litter_saprotroph,,,wood,leaf/fruit/seed,filamentous_mycelium,,,
1093,2384,Hannaella_zeae,AJ965481,SH1003232.09FU,refs,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella_zeae,Hannaella_zeae_SH1003232.09FU,animal_decomposer,animal_decomposer,,,animal_material,yeast,,,,
1094,2385,Glomus_sp,UDB03145171,SH0880091.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_sp,Glomus_sp_SH0880091.09FU,arbuscular_mycorrhizal,root-associated,,,NA,filamentous_mycelium,,,,
1095,2386,Glomus_macrocarpum,MT765493,SH0880030.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_macrocarpum,Glomus_macrocarpum_SH0880030.09FU,arbuscular_mycorrhizal,root-associated,,,NA,filamentous_mycelium,,,,
1096,2387,Glomeraceae_sp,UDB03126082,SH0957052.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_gen_Incertae_sedis,Glomeraceae_sp,Glomeraceae_sp_SH0957052.09FU,arbuscular_mycorrhizal,NA,,,NA,NA,,,,
1097,2388,Glomeraceae_sp,UDB03121258,SH1310037.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_gen_Incertae_sedis,Glomeraceae_sp,Glomeraceae_sp_SH1310037.09FU,arbuscular_mycorrhizal,NA,,,NA,NA,,,,
1098,2389,Gigaspora_gigantea,AF004684,SH0998758.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,Gigaspora_gigantea,Gigaspora_gigantea_SH0998758.09FU,arbuscular_mycorrhizal,root-associated,,,NA,filamentous_mycelium,,,,
1099,2390,Fusarium_waltergamsii,DQ094420,SH3194499.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_waltergamsii,Fusarium_waltergamsii_SH3194499.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
1100,2391,Fusarium_oxysporum,UDB041458,SH1099032.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum,Fusarium_oxysporum_SH1099032.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
1101,2392,Fungi_sp,UDB0752065,SH1183678.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1183678.09FU,NA,NA,,,NA,NA,,,,
1102,2393,Fungi_sp,UDB0750705,SH1119533.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1119533.09FU,NA,NA,,,NA,NA,,,,
1103,2394,Fungi_sp,UDB0748756,SH1171811.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1171811.09FU,NA,NA,,,NA,NA,,,,
1104,2395,Fungi_sp,UDB0615614,SH1174326.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1174326.09FU,NA,NA,,,NA,NA,,,,
1105,2396,Fungi_sp,UDB0258920,SH1191797.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1191797.09FU,NA,NA,,,NA,NA,,,,
1106,2397,Fungi_sp,UDB02171100,SH1118662.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1118662.09FU,NA,NA,,,NA,NA,,,,
1107,2398,Fungi_sp,UDB02159394,SH1119543.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1119543.09FU,NA,NA,,,NA,NA,,,,
1108,2399,Fungi_sp,JX357426,SH1239739.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1239739.09FU,NA,NA,,,NA,NA,,,,
1109,2400,Exophiala_sp,UDB01988919,SH1266714.09FU,reps,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala_sp,Exophiala_sp_SH1266714.09FU,litter_saprotroph,litter_saprotroph,,,leaf/fruit/seed,animal_material,dimorphic_yeast,,,
1110,2422,Eucasphaeria_sp,UDB05379918,SH1078368.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Niessliaceae,Eucasphaeria,Eucasphaeria_sp,Eucasphaeria_sp_SH1078368.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,filamentous_mycelium,,,,
1111,2423,Endogonales_sp,UDB05308867,SH0907505.09FU,reps,Fungi,Mucoromycota,Endogonomycetes,Endogonales,Endogonales_fam_Incertae_sedis,Endogonales_gen_Incertae_sedis,Endogonales_sp,Endogonales_sp_SH0907505.09FU,NA,NA,,,NA,NA,,,,
1112,2424,Dioszegia_rishiriensis,UDB05236104,SH1004067.09FU,reps,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia_rishiriensis,Dioszegia_rishiriensis_SH1004067.09FU,litter_saprotroph,NA,,,leaf/fruit/seed,yeast,,,,
1113,2426,Clavicipitaceae_sp,UDB03207069,SH1111121.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Clavicipitaceae_gen_Incertae_sedis,Clavicipitaceae_sp,Clavicipitaceae_sp_SH1111121.09FU,NA,NA,,,NA,NA,,,,
1114,2429,Chytridiomycota_sp,UDB0389842,SH1292441.09FU,reps,Fungi,Chytridiomycota,Chytridiomycota_cls_Incertae_sedis,Chytridiomycota_ord_Incertae_sedis,Chytridiomycota_fam_Incertae_sedis,Chytridiomycota_gen_Incertae_sedis,Chytridiomycota_sp,Chytridiomycota_sp_SH1292441.09FU,NA,NA,,,NA,NA,,,,
1115,2430,Chytridiomycota_sp,UDB02300392,SH0921733.09FU,reps,Fungi,Chytridiomycota,Chytridiomycota_cls_Incertae_sedis,Chytridiomycota_ord_Incertae_sedis,Chytridiomycota_fam_Incertae_sedis,Chytridiomycota_gen_Incertae_sedis,Chytridiomycota_sp,Chytridiomycota_sp_SH0921733.09FU,NA,NA,,,NA,NA,,,,
1116,2431,Chytridiomycota_sp,UDB02295060,SH1292444.09FU,reps,Fungi,Chytridiomycota,Chytridiomycota_cls_Incertae_sedis,Chytridiomycota_ord_Incertae_sedis,Chytridiomycota_fam_Incertae_sedis,Chytridiomycota_gen_Incertae_sedis,Chytridiomycota_sp,Chytridiomycota_sp_SH1292444.09FU,NA,NA,,,NA,NA,,,,
1117,2445,Basidiomycota_sp,UDB01501857,SH1017410.09FU,reps,Fungi,Basidiomycota,Basidiomycota_cls_Incertae_sedis,Basidiomycota_ord_Incertae_sedis,Basidiomycota_fam_Incertae_sedis,Basidiomycota_gen_Incertae_sedis,Basidiomycota_sp,Basidiomycota_sp_SH1017410.09FU,NA,NA,,,NA,NA,,,,
1118,2446,Ascomycota_sp,UDB01399680,SH1121315.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH1121315.09FU,NA,NA,,,NA,NA,,,,
1119,2447,Ascomycota_sp,UDB01377299,SH1118080.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH1118080.09FU,NA,NA,,,NA,NA,,,,
1120,2450,Alternaria_rosae,JQ693639,SH4321377.09FU,refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_rosae,Alternaria_rosae_SH4321377.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,filamentous_mycelium,,,,
1121,2452,Sordariomycetes_sp,UDB01699816,SH0945418.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_ord_Incertae_sedis,Sordariomycetes_fam_Incertae_sedis,Sordariomycetes_gen_Incertae_sedis,Sordariomycetes_sp,Sordariomycetes_sp_SH0945418.09FU,NA,NA,,,NA,NA,,,,
1122,2453,Chytridiomycota_sp,UDB02285249,SH1280749.09FU,reps,Fungi,Chytridiomycota,Chytridiomycota_cls_Incertae_sedis,Chytridiomycota_ord_Incertae_sedis,Chytridiomycota_fam_Incertae_sedis,Chytridiomycota_gen_Incertae_sedis,Chytridiomycota_sp,Chytridiomycota_sp_SH1280749.09FU,NA,NA,,,NA,NA,,,,
1123,2455,Lobulomycetales_sp,UDB03108533,SH1144708.09FU,reps,Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,Lobulomycetales_fam_Incertae_sedis,Lobulomycetales_gen_Incertae_sedis,Lobulomycetales_sp,Lobulomycetales_sp_SH1144708.09FU,NA,NA,,,NA,NA,,,,
1124,2456,Spizellomyces_sp,UDB07377406,SH1116420.09FU,reps,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomyces,Spizellomyces_sp,Spizellomyces_sp_SH1116420.09FU,pollen_saprotroph,NA,,,pollen,zoosporic-rhizomycelial_(chytrid-like),,,,
1125,2459,Pezizomycotina_sp,UDB04339607,SH0984018.09FU,reps,Fungi,Ascomycota,Pezizomycotina_cls_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_fam_Incertae_sedis,Pezizomycotina_gen_Incertae_sedis,Pezizomycotina_sp,Pezizomycotina_sp_SH0984018.09FU,NA,NA,,,NA,NA,,,,
1126,2461,Sebacinales_sp,HQ154358,SH1218676.09FU,refs,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinales_fam_Incertae_sedis,Sebacinales_gen_Incertae_sedis,Sebacinales_sp,Sebacinales_sp_SH1218676.09FU,NA,NA,,,NA,NA,,,,
1127,2465,Conocybe_sp,UDB04137862,SH1182658.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,Conocybe_sp,Conocybe_sp_SH1182658.09FU,soil_saprotroph,NA,,,soil,filamentous_mycelium,,,,
1128,2468,Fungi_sp,UDB02175638,SH1191523.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1191523.09FU,NA,NA,,,NA,NA,,,,
1129,2470,Aspergillus_insuetus,EU076356,SH0942099.09FU,refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_insuetus,Aspergillus_insuetus_SH0942099.09FU,unspecified_saprotroph,foliar_endophyte,,,leaf/fruit/seed,soil,dung,animal_material,filamentous_mycelium,
1130,2474,Ascomycota_sp,UDB01393028,SH1045034.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH1045034.09FU,NA,NA,,,NA,NA,,,,
1131,2476,Tulasnellaceae_sp,AY373291,SH1267553.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Tulasnellaceae,Tulasnellaceae_gen_Incertae_sedis,Tulasnellaceae_sp,Tulasnellaceae_sp_SH1267553.09FU,NA,NA,,,NA,NA,,,,
1132,2479,Stemphylium_trifolii,KU850647,SH1346065.09FU,refs,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium_trifolii,Stemphylium_trifolii_SH1346065.09FU,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed,filamentous_mycelium,,,,
1133,2482,Rhizophagus_irregularis,MN388908,SH0988887.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_irregularis,Rhizophagus_irregularis_SH0988887.09FU,arbuscular_mycorrhizal,root-associated,,,NA,filamentous_mycelium,,,,
1134,2483,Junewangiaceae_sp,UDB02253747,SH0898476.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_ord_Incertae_sedis,Junewangiaceae,Junewangiaceae_gen_Incertae_sedis,Junewangiaceae_sp,Junewangiaceae_sp_SH0898476.09FU,NA,NA,,,NA,NA,,,,
1135,2485,Glomus_sp,UDB0198768,SH0993493.09FU,reps,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_sp,Glomus_sp_SH0993493.09FU,arbuscular_mycorrhizal,root-associated,,,NA,filamentous_mycelium,,,,
1136,2486,Fungi_sp,UDB0752066,SH1184334.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1184334.09FU,NA,NA,,,NA,NA,,,,
1137,2487,Fungi_sp,UDB0162032,SH1105669.09FU,reps,Fungi,Fungi_phy_Incertae_sedis,Fungi_cls_Incertae_sedis,Fungi_ord_Incertae_sedis,Fungi_fam_Incertae_sedis,Fungi_gen_Incertae_sedis,Fungi_sp,Fungi_sp_SH1105669.09FU,NA,NA,,,NA,NA,,,,
